hospital_id,hospital_name,shortname,username,internal_email,password,auth_uid
2,"Fortis Hospital Bannerghatta Road",Fortis,fortis,fortis@internal.example,Fortis@123,1582c7d6-8aac-464e-a9f6-4036bdc7ba82
3,"Apollo Hospitals Bannerghatta",Apollo,apollo,apollo@internal.example,Apollo@123,47af5027-f648-4f88-a950-e6c7ee38db2c
4,"Columbia Asia Hospital Whitefield",Columbia,columbia,columbia@internal.example,Columbia@123,eebd3cf4-83ae-4ef2-82a4-cad011b46672
5,"Narayana Multispeciality Hospital HSR Layout",Narayana,narayana,narayana@internal.example,Narayana@123,220bd195-a8e9-454a-9abd-8e25e658965e
6,"Sakra World Hospital",Sakra,sakra,sakra@internal.example,Sakra@123,fce602c1-ff1b-4ba4-a9c8-bff69bf347eb
7,"St. John's Medical College Hospital",StJohns,stjohns,stjohns@internal.example,StJohns@123,86809031-ad25-4ccd-b375-4ff3b071e67f
8,"BGS Gleneagles Global Hospital",BGS,bgs,bgs@internal.example,BGS@123,46b9c72f-74d2-48bd-9209-1f885e23f9fc
9,"Aster CMI Hospital",Aster,aster,aster@internal.example,Aster@123,f42c8420-a79d-4632-b09e-5c6e0f69d6b6
10,"Mallya Hospital",Mallya,mallya,mallya@internal.example,Mallya@123,16031b66-a3ab-4f27-8041-d9840722e2f6
11,"Cloudnine Hospital Jayanagar",Cloudnine,cloudnine,cloudnine@internal.example,Cloudnine@123,482b4591-fd45-4aad-b6bb-1d3c3d7fab8e
12,"Sparsh Hospital Yeshwanthpur",Sparsh,sparsh,sparsh@internal.example,Sparsh@123,3831c2a0-88c7-4b55-8dd5-94dfbeb51485
13,"Vikram Hospital Mysore Road",Vikram,vikram,vikram@internal.example,Vikram@123,c51aa9fa-60b7-4d77-968b-1488f06b16e7
14,"Motherhood Hospital Indiranagar",Motherhood,motherhood,motherhood@internal.example,Motherhood@123,0569e4c6-a066-42ca-806f-3368557477e6
15,"HCG Cancer Hospital Kalinga Rao Road",HCG,hcg,hcg@internal.example,HCG@123,9859c3be-c734-42e3-b2c3-51f622ff30c3
16,"Ramaiah Memorial Hospital",Ramaiah,ramaiah,ramaiah@internal.example,Ramaiah@123,5b2dce07-54a8-463b-a4ae-ff5ddcf956ee
17,"Sagar Hospital Jayanagar",Sagar,sagar,sagar@internal.example,Sagar@123,141bac5d-660b-4537-9a0d-c4c68a31f91a
18,"Bangalore Baptist Hospital",Baptist,baptist,baptist@internal.example,Baptist@123,08ad9f41-9048-4415-978c-db8b9f935eb6
19,"KIMS Hospital Bangalore",KIMS,kims,kims@internal.example,KIMS@123,29edacf0-228e-4281-8198-f92932a57155
20,"Rangadore Memorial Hospital",Rangadore,rangadore,rangadore@internal.example,Rangadore@123,3a5971a1-54e2-4e42-94f7-97ce6a13bc39
22,"Kauvery Hospital Electronic City",Kauvery,kauvery,kauvery@internal.example,Kauvery@123,61d290a9-0966-4cbb-a5f5-ca8b778e46a5
23,"Rainbow Children's Hospital Marathahalli",Rainbow,rainbow,rainbow@internal.example,Rainbow@123,20965887-4eb3-4996-856a-a6aecf57329b
24,"Brindavan Hospital and Trauma Care Centre",Brindavan,brindavan,brindavan@internal.example,Brindavan@123,49e3fc5f-2557-42d2-bcee-455b6a02bc5a
26,"Pristine Hospital",Pristine,pristine,pristine@internal.example,Pristine@123,b830f80c-8126-43d8-936f-dcb384f8150b
27,"Hosmat Hospital",Hosmat,hosmat,hosmat@internal.example,Hosmat@123,91e4ca56-8ac3-494b-b9ea-ee5c6f7aacb7
28,"Shanti Hospital",Shanti,shanti,shanti@internal.example,Shanti@123,ca2fd218-8626-416c-ba05-96fc49165257
30,"Sheela Multispeciality Hospital",SheelaMultispeciality,sheelamultispeciality,sheelamultispeciality@internal.example,SheelaMultispeciality@123,d73f8523-64ea-4150-b3a8-febfa38ec39d
31,"Jindal Sanjeevani Multispeciality Hospital",JindalSanjeevani,jindalsanjeevani,jindalsanjeevani@internal.example,JindalSanjeevani@123,63f81c94-a428-40ff-a576-b900141536c5
32,"Adichunchanagiri Institute of Medical Sciences",AdichunchanagiriInstitute,adichunchanagiriinstitute,adichunchanagiriinstitute@internal.example,AdichunchanagiriInstitute@123,a6c40f44-a1ff-4cc7-919b-b5186cfad6e2
33,"Vydehi Institute of Medical Sciences",VydehiInstitute,vydehiinstitute,vydehiinstitute@internal.example,VydehiInstitute@123,1b9afae5-3b12-4a6f-9343-4e23189ef69a
34,"Koshys Hospital",Koshys,koshys,koshys@internal.example,Koshys@123,4dc83979-8382-484f-8602-6e44c3dc9877
35,"Hephzibah Hospital",Hephzibah,hephzibah,hephzibah@internal.example,Hephzibah@123,c3773463-b86b-4552-bf87-08e80e7eb641
36,"Manipal Hospital Sarjapur Road",Manipal,manipal,manipal@internal.example,Manipal@123,a36435d7-b529-4e58-bad4-a1bb54bc553b
40,"Chinmaya Mission Hospital",ChinmayaMission,chinmayamission,chinmayamission@internal.example,ChinmayaMission@123,abc7d877-7a2c-48e5-85b8-04f8b75593db
42,"Spandana Hospital",Spandana,spandana,spandana@internal.example,Spandana@123,125a527f-9a57-42ae-8c98-a15749c7f80d
43,"Jnana Sanjeevini Medical Centre",JnanaSanjeevini,jnanasanjeevini,jnanasanjeevini@internal.example,JnanaSanjeevini@123,7d19b64f-57b4-425d-8305-b625f216c42e
44,"Seetha Nursing Home",SeethaNursing,seethanursing,seethanursing@internal.example,SeethaNursing@123,84083134-9310-45b1-8a9f-5becae5f9d34
45,"Gleneagles Global Health City",GleneaglesGlobal,gleneaglesglobal,gleneaglesglobal@internal.example,GleneaglesGlobal@123,a33d959e-4f46-4a71-bfea-18e8eb95a9cc
46,"Ashwini Hospital",Ashwini,ashwini,ashwini@internal.example,Ashwini@123,3d6ceb20-9c06-4dbd-803a-de2688011e3d
47,"Ayush Hospital",Ayush,ayush,ayush@internal.example,Ayush@123,11f2cdc3-706a-482a-9945-d032b516ede8
48,"Meenakshi Mission Hospital",MeenakshiMission,meenakshimission,meenakshimission@internal.example,MeenakshiMission@123,a96fb46c-6ccf-4fdb-8629-e17e667d43d7
49,"Padmavathi Nursing Home",PadmavathiNursing,padmavathinursing,padmavathinursing@internal.example,PadmavathiNursing@123,9feb7d89-1899-4036-b39f-6c24d643b916
50,"Medall Diagnostics and Hospital",MedallDiagnostics,medalldiagnostics,medalldiagnostics@internal.example,MedallDiagnostics@123,14a415c1-a88f-471d-90b1-b4dcfe093d40
52,"People Tree Hospital",PeopleTree,peopletree,peopletree@internal.example,PeopleTree@123,5d64e478-2ce9-4b26-b048-092e4e1f0dc1
54,"Vasan Healthcare Centre",VasanHealthcare,vasanhealthcare,vasanhealthcare@internal.example,VasanHealthcare@123,c5be18e5-802e-4365-966c-5bb707e4b036
55,"Sanjay Gandhi Postgraduate Institute",SanjayGandhi,sanjaygandhi,sanjaygandhi@internal.example,SanjayGandhi@123,eb0304f4-f0c9-4178-86fd-fb18f44fff5c
65,"Cytecare Cancer Hospital",CytecareCancer,cytecarecancer,cytecarecancer@internal.example,CytecareCancer@123,cb941196-a8f9-4702-9940-ae1cb9c34fb9
amb-001,"Demo Ambulance",AMB-001,amb1,amb1@internal.example,1234,60964d57-a038-4334-954c-ef1c46b5d163
admin,"Admin Account",Admin,hos1,hos1@internal.example,admin123,ecdee238-d31c-419e-8ee6-1a9065302a63
